input_path,label,vid_id
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_1.mp4,2,1
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_10.mp4,23,10
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_100.mp4,7,100
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_101.mp4,0,101
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_102.mp4,32,102
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_103.mp4,19,103
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_104.mp4,3,104
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_105.mp4,25,105
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_106.mp4,9,106
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_107.mp4,17,107
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_108.mp4,22,108
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_109.mp4,8,109
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_11.mp4,15,11
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_110.mp4,24,110
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_111.mp4,12,111
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_112.mp4,25,112
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_113.mp4,0,113
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_114.mp4,22,114
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_115.mp4,36,115
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_116.mp4,0,116
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_117.mp4,31,117
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_118.mp4,35,118
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_119.mp4,26,119
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_12.mp4,5,12
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_120.mp4,6,120
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_121.mp4,1,121
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_122.mp4,21,122
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_123.mp4,6,123
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_124.mp4,18,124
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_125.mp4,8,125
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_126.mp4,33,126
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_127.mp4,3,127
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_128.mp4,14,128
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_129.mp4,0,129
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_13.mp4,5,13
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_130.mp4,4,130
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_131.mp4,32,131
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_132.mp4,23,132
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_133.mp4,21,133
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_134.mp4,34,134
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_135.mp4,27,135
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_136.mp4,28,136
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_137.mp4,24,137
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_138.mp4,33,138
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_139.mp4,23,139
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_14.mp4,21,14
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_140.mp4,20,140
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_141.mp4,26,141
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_142.mp4,5,142
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_143.mp4,28,143
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_144.mp4,11,144
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_145.mp4,18,145
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_146.mp4,26,146
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_147.mp4,4,147
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_148.mp4,21,148
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_149.mp4,28,149
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_15.mp4,25,15
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_150.mp4,0,150
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_151.mp4,32,151
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_152.mp4,4,152
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_153.mp4,5,153
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_154.mp4,34,154
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_155.mp4,30,155
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_156.mp4,33,156
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_157.mp4,10,157
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_158.mp4,27,158
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_159.mp4,33,159
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_16.mp4,11,16
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_160.mp4,36,160
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_161.mp4,10,161
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_162.mp4,29,162
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_163.mp4,14,163
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_164.mp4,0,164
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_165.mp4,33,165
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_166.mp4,25,166
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_167.mp4,17,167
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_168.mp4,24,168
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_169.mp4,26,169
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_17.mp4,31,17
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_170.mp4,10,170
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_171.mp4,35,171
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_172.mp4,15,172
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_173.mp4,16,173
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_174.mp4,4,174
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_175.mp4,32,175
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_176.mp4,34,176
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_177.mp4,34,177
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_178.mp4,7,178
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_179.mp4,36,179
../RouletteVision-Dataset/Input-Output Videos/SET 2/S2_INPUT_18.mp4,14,18
